dataset,strategy,round,n_labeled,pct_labeled,accuracy,precision,recall,f1,tn,fp,fn,tp,train_eval_time_sec,query_time_sec,total_time_sec,stop_reason,undersampling,undersampling_stage
Extract And Move Method,RandomSampling,0,779,5.001926287,0.680282991,0.082252119,0.887396694,0.150549884,39533,19169,218,1718,0.509816647,0.000999928,0.510816574,,TRUE,after_split
Extract And Move Method,RandomSampling,1,1558,10.00385257,0.692437086,0.086000198,0.896694215,0.156947835,40252,18450,200,1736,0.755077362,0,0.755077362,,TRUE,after_split
Extract And Move Method,RandomSampling,2,2337,15.00577886,0.724149873,0.093810073,0.882231405,0.16958745,42203,16499,228,1708,0.829260588,0,0.829260588,,TRUE,after_split
Extract And Move Method,RandomSampling,3,3116,20.00770515,0.712754378,0.090942718,0.888946281,0.165004794,41499,17203,215,1721,1.012321949,0,1.012321949,,TRUE,after_split
Extract And Move Method,RandomSampling,4,3895,25.00963144,0.767785877,0.107186752,0.85588843,0.190514516,44900,13802,279,1657,1.235221386,0,1.235221386,,TRUE,after_split
Extract And Move Method,RandomSampling,5,4674,30.01155772,0.729624988,0.096635608,0.894628099,0.17442973,42511,16191,204,1732,1.563510418,0.000999689,1.564510107,,TRUE,after_split
Extract And Move Method,RandomSampling,6,5453,35.01348401,0.72273162,0.094919131,0.900309917,0.171732598,42082,16620,193,1743,1.613261223,0,1.613261223,,TRUE,after_split
Extract And Move Method,RandomSampling,7,6232,40.0154103,0.767554999,0.1081534,0.866735537,0.192309896,44865,13837,258,1678,1.759776354,0,1.759776354,,TRUE,after_split
Extract And Move Method,RandomSampling,8,7011,45.01733659,0.763514628,0.10667174,0.868801653,0.190013556,44616,14086,254,1682,1.893360615,0,1.893360615,,TRUE,after_split
Extract And Move Method,RandomSampling,9,7790,50.01926287,0.760348296,0.107111666,0.886880165,0.191138818,44389,14313,219,1717,2.199388266,0,2.199388266,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,EntropySampling,0,779,5.001926287,0.719021076,0.08872549,0.84142562,0.160524241,41971,16731,307,1629,0.394154787,0.053475857,0.447630644,,TRUE,after_split
Extract And Move Method,EntropySampling,1,1558,10.00385257,0.751360533,0.09972586,0.845557851,0.178409896,43924,14778,299,1637,0.591474056,0.052000999,0.643475056,,TRUE,after_split
Extract And Move Method,EntropySampling,2,2337,15.00577886,0.754510373,0.102955605,0.867252066,0.184060513,44073,14629,257,1679,0.909421444,0.04814291,0.957564354,,TRUE,after_split
Extract And Move Method,EntropySampling,3,3116,20.00770515,0.782759985,0.112917671,0.846590909,0.199258404,45826,12876,297,1639,0.943395615,0.047000647,0.990396261,,TRUE,after_split
Extract And Move Method,EntropySampling,4,3895,25.00963144,0.752696329,0.104194448,0.887913223,0.186503201,43923,14779,217,1719,1.122309685,0.042001247,1.164310932,,TRUE,after_split
Extract And Move Method,EntropySampling,5,4674,30.01155772,0.774811175,0.111722219,0.870867769,0.19803841,45297,13405,250,1686,1.386343479,0.039945126,1.426288605,,TRUE,after_split
Extract And Move Method,EntropySampling,6,5453,35.01348401,0.767967281,0.110740408,0.891528926,0.197009474,44842,13860,210,1726,1.558075905,0.037000418,1.595076323,,TRUE,after_split
Extract And Move Method,EntropySampling,7,6232,40.0154103,0.793034071,0.119460777,0.86053719,0.209797255,46422,12280,270,1666,1.834520817,0.034609795,1.869130611,,TRUE,after_split
Extract And Move Method,EntropySampling,8,7011,45.01733659,0.787938257,0.117836401,0.869834711,0.207555309,46095,12607,252,1684,1.921637058,0.034621477,1.956258535,,TRUE,after_split
Extract And Move Method,EntropySampling,9,7790,50.01926287,0.789389492,0.118297752,0.867252066,0.208196416,46188,12514,257,1679,2.132455349,0,2.132455349,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,LeastConfidence,0,779,5.001926287,0.728470596,0.09103192,0.835227273,0.16417077,42556,16146,319,1617,0.410580397,0.054000378,0.464580774,,TRUE,after_split
Extract And Move Method,LeastConfidence,1,1558,10.00385257,0.728173752,0.093636516,0.865702479,0.168994202,42479,16223,260,1676,0.720322132,0.052646399,0.772968531,,TRUE,after_split
Extract And Move Method,LeastConfidence,2,2337,15.00577886,0.722385303,0.094634306,0.898243802,0.17122883,42065,16637,197,1739,0.765381813,0.049941301,0.815323114,,TRUE,after_split
Extract And Move Method,LeastConfidence,3,3116,20.00770515,0.776476797,0.111438127,0.86053719,0.197323226,45418,13284,270,1666,0.968764544,0.047194481,1.015959024,,TRUE,after_split
Extract And Move Method,LeastConfidence,4,3895,25.00963144,0.794980046,0.117938264,0.83677686,0.206738132,46586,12116,316,1620,1.170233965,0.043488026,1.213721991,,TRUE,after_split
Extract And Move Method,LeastConfidence,5,4674,30.01155772,0.731537979,0.097400775,0.896177686,0.175705099,42624,16078,201,1735,1.49754262,0.040762663,1.538305283,,TRUE,after_split
Extract And Move Method,LeastConfidence,6,5453,35.01348401,0.788086678,0.116891323,0.860020661,0.205809642,46123,12579,271,1665,2.601742744,0.109000921,2.710743666,,TRUE,after_split
Extract And Move Method,LeastConfidence,7,6232,40.0154103,0.749727893,0.10411434,0.89927686,0.18662236,43721,14981,195,1741,4.185670614,0.083999395,4.26967001,,TRUE,after_split
Extract And Move Method,LeastConfidence,8,7011,45.01733659,0.786618952,0.11707385,0.868801653,0.206342391,46017,12685,254,1682,4.692460299,0.079369068,4.771829367,,TRUE,after_split
Extract And Move Method,LeastConfidence,9,7790,50.01926287,0.766417098,0.109777891,0.888429752,0.195410134,44754,13948,216,1720,4.996870041,0,4.996870041,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,MarginSampling,0,779,5.001926287,0.696164122,0.084475806,0.865702479,0.153930933,40538,18164,260,1676,0.993360281,0.139995575,1.133355856,,TRUE,after_split
Extract And Move Method,MarginSampling,1,1558,10.00385257,0.718526337,0.092349138,0.885330579,0.167252147,41856,16846,222,1714,1.432744741,0.138289928,1.57103467,,TRUE,after_split
Extract And Move Method,MarginSampling,2,2337,15.00577886,0.786272634,0.112485939,0.826446281,0.198019802,46078,12624,336,1600,2.033112288,0.127001524,2.160113811,,TRUE,after_split
Extract And Move Method,MarginSampling,3,3116,20.00770515,0.747023319,0.101924448,0.886363636,0.182825485,43582,15120,220,1716,2.306775093,0.118098259,2.424873352,,TRUE,after_split
Extract And Move Method,MarginSampling,4,3895,25.00963144,0.782628055,0.114712533,0.864669421,0.202553089,45783,12919,262,1674,2.701008081,0.159003735,2.860011816,,TRUE,after_split
Extract And Move Method,MarginSampling,5,4674,30.01155772,0.745753488,0.101695917,0.888946281,0.182512328,43500,15202,215,1721,3.372921467,0.103000164,3.475921631,,TRUE,after_split
Extract And Move Method,MarginSampling,6,5453,35.01348401,0.775866618,0.112559005,0.874483471,0.19944631,45354,13348,243,1693,3.771486521,0.111994028,3.883480549,,TRUE,after_split
Extract And Move Method,MarginSampling,7,6232,40.0154103,0.78999967,0.118283371,0.864152893,0.208084577,46231,12471,263,1673,3.967957973,0.086000919,4.053958893,,TRUE,after_split
Extract And Move Method,MarginSampling,8,7011,45.01733659,0.788383522,0.117791497,0.867252066,0.207411983,46127,12575,257,1679,4.404218435,0.08300066,4.487219095,,TRUE,after_split
Extract And Move Method,MarginSampling,9,7790,50.01926287,0.764685511,0.108898332,0.886880165,0.193978422,44652,14050,219,1717,4.943711758,0,4.943711758,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,KMeansSampling,0,779,5.001926287,0.698951153,0.086756141,0.88481405,0.158018542,40670,18032,223,1713,0.993195772,7.043246269,8.036442041,,TRUE,after_split
Extract And Move Method,KMeansSampling,1,1558,10.00385257,0.733170619,0.094465323,0.856921488,0.1701713,42799,15903,277,1659,1.402930498,7.080175877,8.483106375,,TRUE,after_split
Extract And Move Method,KMeansSampling,2,2337,15.00577886,0.739866091,0.098153096,0.872933884,0.176464446,43174,15528,246,1690,1.878744602,5.990512609,7.869257212,,TRUE,after_split
Extract And Move Method,KMeansSampling,3,3116,20.00770515,0.723275834,0.093982495,0.887396694,0.169964385,42140,16562,218,1718,2.417819977,6.13233757,8.550157547,,TRUE,after_split
Extract And Move Method,KMeansSampling,4,3895,25.00963144,0.702002045,0.089966453,0.914256198,0.16381305,40798,17904,166,1770,2.791870832,5.781937599,8.573808432,,TRUE,after_split
Extract And Move Method,KMeansSampling,5,4674,30.01155772,0.710099278,0.092099087,0.912190083,0.167306144,41293,17409,170,1766,3.238286734,5.145070791,8.383357525,,TRUE,after_split
Extract And Move Method,KMeansSampling,6,5453,35.01348401,0.743395231,0.100843783,0.888946281,0.181138827,43357,15345,215,1721,3.860696554,4.617811203,8.478507757,,TRUE,after_split
Extract And Move Method,KMeansSampling,7,6232,40.0154103,0.739536264,0.100311491,0.898243802,0.180469074,43105,15597,197,1739,4.045560837,4.299593449,8.345154285,,TRUE,after_split
Extract And Move Method,KMeansSampling,8,7011,45.01733659,0.736864672,0.099748772,0.902376033,0.179640103,42935,15767,189,1747,4.410192013,4.44082737,8.851019382,,TRUE,after_split
Extract And Move Method,KMeansSampling,9,7790,50.01926287,0.761436723,0.107652806,0.887913223,0.192024129,44453,14249,217,1719,5.016684055,0,5.016684055,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,BALDDropout,0,779,5.001926287,0.668376266,0.079192331,0.883264463,0.145352544,38819,19883,226,1710,1.142526865,1.4807024,2.623229265,,TRUE,after_split
Extract And Move Method,BALDDropout,1,1558,10.00385257,0.703288367,0.085758514,0.858471074,0.155939201,40984,17718,274,1662,1.52118969,1.482449055,3.003638744,,TRUE,after_split
Extract And Move Method,BALDDropout,2,2337,15.00577886,0.706124872,0.087042429,0.864669421,0.158163265,41144,17558,262,1674,1.992143393,1.228281975,3.220425367,,TRUE,after_split
Extract And Move Method,BALDDropout,3,3116,20.00770515,0.723671625,0.091104735,0.852789256,0.164622594,42231,16471,285,1651,2.439531326,1.170994759,3.610526085,,TRUE,after_split
Extract And Move Method,BALDDropout,4,3895,25.00963144,0.703552228,0.088380209,0.88946281,0.160784314,40940,17762,214,1722,2.670419216,1.251335382,3.921754599,,TRUE,after_split
Extract And Move Method,BALDDropout,5,4674,30.01155772,0.70836769,0.088395191,0.873450413,0.160543055,41263,17439,245,1691,3.137104511,1.00512886,4.142233372,,TRUE,after_split
Extract And Move Method,BALDDropout,6,5453,35.01348401,0.726194795,0.094184052,0.879132231,0.170140451,42333,16369,234,1702,3.739958763,0.987305403,4.727264166,,TRUE,after_split
Extract And Move Method,BALDDropout,7,6232,40.0154103,0.726689535,0.095148531,0.888429752,0.171888273,42345,16357,216,1720,4.02041173,0.896029234,4.916440964,,TRUE,after_split
Extract And Move Method,BALDDropout,8,7011,45.01733659,0.732576932,0.097065463,0.888429752,0.175010175,42702,16000,216,1720,4.49497056,0.994483232,5.489453793,,TRUE,after_split
Extract And Move Method,BALDDropout,9,7790,50.01926287,0.750123685,0.102167369,0.876549587,0.183004421,43789,14913,239,1697,4.806481123,0,4.806481123,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,EntropySamplingDropout,0,779,5.001926287,0.704789076,0.086934023,0.867768595,0.15803584,41057,17645,256,1680,1.007974148,1.563287973,2.571262121,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,1,1558,10.00385257,0.763531119,0.102748062,0.828512397,0.182823275,44695,14007,332,1604,1.454006433,1.46647501,2.920481443,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,2,2337,15.00577886,0.772518883,0.108801795,0.851756198,0.192955769,45195,13507,287,1649,1.811322927,1.235026836,3.046349764,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,3,3116,20.00770515,0.747551041,0.102118543,0.886363636,0.183137673,43614,15088,220,1716,2.46105957,1.170829058,3.631888628,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,4,3895,25.00963144,0.769979221,0.109238777,0.867252066,0.19403675,45011,13691,257,1679,2.756922245,1.23801446,3.994936705,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,5,4674,30.01155772,0.780253307,0.112961327,0.858471074,0.199651631,45651,13051,274,1662,3.110585928,1.184842348,4.295428276,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,6,5453,35.01348401,0.739750651,0.100479021,0.89927686,0.180761044,43116,15586,195,1741,3.641972065,0.957061052,4.599033117,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,7,6232,40.0154103,0.759424783,0.106787668,0.887396694,0.190634709,44332,14370,218,1718,3.981772184,0.886033535,4.867805719,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,8,7011,45.01733659,0.782463142,0.116420149,0.882231405,0.205696393,45739,12963,228,1708,4.666857243,0.796465158,5.463322401,,TRUE,after_split
Extract And Move Method,EntropySamplingDropout,9,7790,50.01926287,0.773904153,0.112544425,0.883264463,0.199649737,45218,13484,226,1710,4.897080421,0,4.897080421,max_label_pct_reached(50.0%),TRUE,after_split
Extract And Move Method,LeastConfidenceDropout,0,779,5.001926287,0.725304265,0.090012811,0.834710744,0.162501885,42365,16337,320,1616,1.157904387,1.365738153,2.52364254,,TRUE,after_split
Extract And Move Method,LeastConfidenceDropout,1,1558,10.00385257,0.736468881,0.096529533,0.867768595,0.173733195,42978,15724,256,1680,1.452675343,1.474009275,2.926684618,,TRUE,after_split
